TaskNumber,Summary,Priority,RaisedByID,AssignedToID,AuthorisedByID,StatusCode,ProjectCode,ProjectBreakdownCode,Category,SubCategory,HoursEstimate,HoursActual,DeveloperID,DeveloperHoursActual,TaskPerformance,DeveloperPerformance
1735,"Flag RI on SCM Message Summary screen using metadata RI application rules",1,58,58,6,"FINISHED","PC2","PBC42","Development","Enhancement",14,1.75,58,1.75,12.25,12.25
1742,"Allow RI Policies to be marked as Exhausted",1,58,42,6,"FINISHED","PC2","PBC21","Development","Enhancement",7,7,42,7,0,0
1971,"Fix Invalid UWREF Line DX402L99A1N",2,7,58,6,"FINISHED","PC2","PBC75","Operational","In House Support",0.7,0.7,58,0.7,0,0
2134,"New rows in the diary event for the SCM are read only.",5,50,42,6,"FINISHED","PC2","PBC42","Development","Bug",0.7,0.7,42,0.7,0,0
2251,"Application Screen Size - Need to set Min Size On Application Contoller.",10,46,13,6,"FINISHED","PC2","PBC21","Development","Bug",3.5,3.5,13,3.5,0,0
2283,"Remove Lloyds Specific Items From Node Type Enum In Technical Core",1,13,13,58,"FINISHED","PC9","PBC11","Development","Enhancement",7,7,13,7,0,0
2400,"RI Meta_Field Accesses/TabHiding Seem To Disappear On Conversion",5,13,13,6,"FINISHED","PC2","PBC42","Development","Bug",7,7,43,7,0,NA
2451,"Settlement Currency On Risk_SectionLimit Table Needs Investigating.",5,13,58,6,"FINISHED","PC2","PBC21","Development","Enhancement",7,7,58,7,0,0
2475,"Write self-tests for Period Close",6,13,13,6,"FINISHED","PC2","PBC21","Development","Enhancement",1.4,1.4,13,1.4,0,0
2499,"Seach control obj - sort order",5,1,26,58,"FINISHED","PC9","PBC11","Development","Enhancement",1.75,1.75,26,1.75,0,0
2502,"FAC/Treaty/Block Ind Required On Message Summary and Individual Detail Screens",2,4,58,6,"FINISHED","PC2","PBC10","Development","Enhancement",14,1.75,58,1.75,12.25,12.25
2546,"USM/SCM Message Loading For XXXX",1,58,13,6,"FINISHED","PC2","PBC42","Development","Enhancement",14,14,13,14,0,0
2548,"Hook Risk Validation And RI Validation Into Period Close Processing",3,58,42,6,"FINISHED","PC2","PBC42","Development","Enhancement",14,17.5,42,17.5,-3.5,-3.5
2549,"DataGrid goes black when you click in a child row",1,50,58,6,"FINISHED","PC2","PBC21","Development","Bug",14,7,58,7,7,7
2550,"Validation Error",1,50,50,6,"FINISHED","PC2","PBC21","Development","Bug",7,7,50,7,0,0
2551,"Task system date format still not quite right",8,26,26,58,"FINISHED","PC11","PBC65","Development","Bug",1.75,0.35,26,0.35,1.4,1.4
2552,"Conversion Script for XXXX database",2,26,26,6,"FINISHED","PC2","PBC75","Development","Enhancement",70,70,26,70,0,0
2554,"USM/SCM Message Transaction Search",3,13,13,6,"FINISHED","PC2","PBC21","Development","Bug",7,3.5,13,3.5,3.5,3.5
2555,"Add a system option to control deletion of de-linked items during USM Validation",3,58,26,6,"FINISHED","PC2","PBC21","Development","Enhancement",1.75,0.7,26,0.7,1.05,1.05
2557,"Assist YYY ZZZ and YYY ZZZ with testing and debugging Xlsior Export",1,7,26,6,"FINISHED","PC2","PBC21","Operational","In House Support",1.75,1.4,26,1.4,0.35,0.35
2558,"Event splits",5,1,58,6,"FINISHED","PC17","PBC42","Development","Bug",7,7,58,7,0,0
2561,"Search On Event Code",2,4,13,6,"FINISHED","PC2","PBC10","Development","Bug",7,7,13,7,0,0
2563,"Validation Error Navigation Filtering Fails",2,13,26,58,"FINISHED","PC9","PBC11","Development","Bug",1.75,1.75,26,1.75,0,0
2564,"Validation Error Navigation Switches Forms",2,26,26,58,"FINISHED","PC9","PBC11","Development","Bug",3.5,0.7,26,0.7,2.8,2.8
2566,"Crash On Period Close When No Rows Already In REF_PeriodClose",3,26,26,6,"FINISHED","PC2","PBC21","Development","Bug",1.75,1.75,26,1.75,0,0
2568,"XXXX live - app dies due to permissions",4,1,64,6,"CANCELLED","PC2","PBC21","Development","Enhancement",14,7,64,7,7,7
2569,"XXXX ROE Discrepancy Report",2,6,26,6,"FINISHED","PC2","PBC42","Development","Enhancement",10.5,12.25,26,12.25,-1.75,-1.75
2570,"Migrate recent changes to all databases",1,26,26,6,"FINISHED","PC2","PBC21","Development","Enhancement",0.7,0.7,26,0.7,0,0
2571,"Splits should be able to be entered on the Combined Syndicate",1,58,50,6,"FINISHED","PC2","PBC21","Development","Enhancement",28,105,50,105,-77,-77
2581,"Export Message Box 'Open File' Appears Behind Current Application",5,37,42,6,"FINISHED","PC2","PBC21","Development","Bug",14,14,42,14,0,0
2583,"Add Diary event for when Risk or RI is actually deleted",3,42,42,6,"FINISHED","PC2","PBC42","Development","Enhancement",0.7,0.7,42,0.7,0,0
2585,"XXXX Triangulation",1,6,26,6,"FINISHED","PC2","PBC53","Development","Enhancement",14,28,26,28,-14,-14
2586,"Import SCM exchange rate data into REF_CurrencyExcchangeRateHistory",2,58,26,6,"FINISHED","PC2","PBC42","Development","Enhancement",3.5,1.75,26,1.75,1.75,1.75
2588,"As At positions",5,1,58,6,"CANCELLED","PC2","PBC42","Development","Enhancement",7,7,58,7,0,0
2589,"Restrict Grid Export Types",5,26,26,58,"FINISHED","PC9","PBC11","Development","Enhancement",1.75,3.5,26,3.5,-1.75,-1.75
2597,"Add a business rule for IdealProgrammingDaysEstimate so that it remains madatory until a value above 0 is entered",3,58,42,58,"FINISHED","PC11","PBC65","Development","Enhancement",2.1,2.1,42,2.1,0,0
2599,"Search Form crashes when a search criteria is accepted without a search value",8,42,26,58,"FINISHED","PC9","PBC11","Development","Bug",1.4,1.4,26,1.4,0,0
2602,"Claim Movement Report - Manual Block Overrides",5,1,58,6,"FINISHED","PC2","PBC42","Development","Enhancement",7,7,58,7,0,0
2603,"periods in META_FilterSeasrchFields.UserFieldName",10,1,1,58,"FINISHED","PC9","PBC11","Development","Enhancement",7,7,1,7,0,0
2604,"XXXX Triangulation Report",2,16,26,6,"FINISHED","PC2","PBC53","Development","Enhancement",28,28,26,28,0,0
2606,"New Event Can Only Be Used With An SCM Line After A Restart Of SCMS",2,13,42,6,"FINISHED","PC2","PBC10","Development","Bug",7,7,42,7,0,0
2607,"SCM Message Detail - Search On Message For SCM Transaction Returns No Results",1,13,58,6,"FINISHED","PC2","PBC42","Development","Bug",3.5,3.5,58,3.5,0,0
2608,"SCM Super User UW Ref Correction Does Not Allow To Populate/Correct All UW Ref",1,13,42,6,"FINISHED","PC2","PBC21","Development","Bug",2.1,2.1,42,2.1,0,0
2610,"Add parameter to XLsior export for aviation data only",1,6,26,6,"FINISHED","PC2","PBC53","Development","Enhancement",7,7,26,7,0,0
2617,"Statistical Figures Books fail with an SQL syntax error",1,26,26,6,"FINISHED","PC2","PBC21","Development","Bug",1.75,1.75,26,1.75,0,0
2618,"Advise / ix_ctrldt dates",5,1,58,6,"CANCELLED","PC17","PBC42","Development","Enhancement",7,7,58,7,0,0
2620,"Search Control Object",5,1,26,6,"FINISHED","PC2","PBC21","Development","Bug",7,1.75,26,1.75,5.25,5.25
2623,"Search Control Object - Default Value Based on SQL Sqery",5,1,1,58,"RELEASED","PC9","PBC11","Development","Enhancement",7,7,1,7,0,0
2626,"Attempt to change Event on SCM Line causes fatal crash",2,26,58,6,"FINISHED","PC2","PBC21","Development","Bug",7,1.75,58,1.75,5.25,5.25
2627,"Attempt to view Event Tab on SCM causes fatal crash",1,26,58,6,"FINISHED","PC2","PBC21","Development","Bug",7,3.5,58,3.5,3.5,3.5
2633,"USM Reconcililation Requires IN Criteria for Syndicate Search Field",2,13,50,6,"FINISHED","PC2","PBC21","Development","Enhancement",7,7,50,7,0,0
2637,"Utility To Allow Multiple Syndicates To Run On Individual Machines Needs To Be Live",2,13,42,6,"FINISHED","PC2","PBC21","Development","Enhancement",7,7,42,7,0,0
2638,"Risk History Screen Displays On Dev System But Not On Live System",4,13,42,6,"FINISHED","PC2","PBC21","Development","Bug",14,5.25,42,5.25,8.75,8.75
2639,"Event Change Caused Form Event Not Handled - Load Completed Exception",1,7,42,6,"FINISHED","PC2","PBC10","Development","Bug",7,1.05,42,1.05,5.95,5.95
2640,"Linked USM, SCM Grids On Risk Entry Screen Shows 0 Items Even If Rows Return > 0",4,48,42,6,"FINISHED","PC2","PBC21","Development","Bug",7,0.7,42,0.7,6.3,6.3
2641,"Clicking on RI Reinstatement Tab causes fatal crash",3,26,26,6,"FINISHED","PC2","PBC21","Development","Bug",7,1.75,26,1.75,5.25,5.25
2643,"USM Search fails when statistical parameter entered",2,26,26,6,"FINISHED","PC2","PBC21","Development","Bug",0.7,0.7,26,0.7,0,0
2644,"FIL Code Missing From XXXX XLsior Export",5,7,26,6,"FINISHED","PC2","PBC42","Development","Bug",3.5,0.7,26,0.7,2.8,2.8
2648,"SCM Entry: Broker field should show the Claim Broker Contact and Phone No As A Tooltip.",5,58,58,6,"FINISHED","PC2","PBC21","Development","Enhancement",7,7,58,7,0,0
2651,"XXXX XLsior Export Fails",1,16,26,6,"FINISHED","PC2","PBC21","Development","Bug",1.75,1.75,26,1.75,0,0
2652,"Allow named groups in Search Control",3,29,26,58,"FINISHED","PC9","PBC11","Development","Enhancement",7,21,26,21,-14,-14
2653,"Net Triangle Figures Into Warehouse",2,58,26,6,"FINISHED","PC2","PBC10","Development","Enhancement",7,21,26,21,-14,-14
2654,"Exchange Rate Difference Report -- show As At movement only",2,45,26,6,"FINISHED","PC2","PBC21","Development","Enhancement",3.5,1.4,26,1.4,2.1,2.1
2655,"RI Figures/Nett Position Differs On Search Screen To Claim Entry Screen.",1,29,58,6,"FINISHED","PC2","PBC42","Development","Bug",7,1.75,58,1.75,5.25,5.25
2658,"Unhandled exception",10,1,1,58,"CANCELLED","PC9","PBC11","Development","Enhancement",7,7,1,7,0,0
2659,"Allow meaningful filenames for all statistical exports",3,7,26,58,"FINISHED","PC9","PBC11","Development","Enhancement",1.4,0.7,26,0.7,0.7,0.7
2660,"Add new 'OR' search feature in Core",4,58,42,58,"FINISHED","PC9","PBC11","Development","Enhancement",7,7,42,7,0,0
2662,"Marked For Deletion Default On Search Screen Annoys Users",9,13,42,6,"RELEASED","PC2","PBC21","Development","Enhancement",7,2.8,42,2.8,4.2,4.2
2664,"Add Filter to Comparator to select specific items to compare",1,1,50,58,"FINISHED","PC9","PBC11","Development","Enhancement",14,14,50,14,0,0
2665,"USM Split Capability - Add support for RI accrual splitting by IIType",1,16,42,6,"FINISHED","PC2","PBC53","Development","Enhancement",70,70,42,70,0,0
2666,"When Correcting USM/SCM Items Any AutoCorrection Errors Should Be Marked As Clear",4,16,64,6,"FINISHED","PC2","PBC53","Development","Enhancement",35,14,64,14,21,21
2667,"USM Validation Error Bug.",3,16,42,6,"FINISHED","PC2","PBC53","Development","Bug",14,3.5,42,3.5,10.5,10.5
2669,"Third grid Export Type Required.  Export ALL Rows.",5,16,42,6,"FINISHED","PC2","PBC53","Development","Enhancement",14,7,42,7,7,7
2670,"USM Only SuperSearch Required",1,16,42,6,"FINISHED","PC2","PBC53","Development","Enhancement",14,14,42,14,0,0
2671,"USM Search Needs Streamlining",1,58,58,6,"FINISHED","PC2","PBC21","Development","Enhancement",7,7,58,7,0,0
2672,"Add Two Phases To Master SuperSearch",2,58,42,6,"FINISHED","PC2","PBC21","Development","Enhancement",14,14,42,14,0,0
2673,"SCM Entry Screen OS Figures Should Be Consistantly Displayed On Screen.",1,29,58,6,"FINISHED","PC2","PBC42","Development","Bug",35,42,58,42,-7,-7
2675,"SCM Entry: Nett Figures Are Currently Not Displayed",1,29,58,6,"FINISHED","PC2","PBC42","Development","Bug",35,21,58,21,14,14
2676,"SCM Movement Date To Be Added To SCM Validation Errors.",1,16,58,6,"FINISHED","PC2","PBC42","Development","Enhancement",3.5,7,58,7,-3.5,-3.5
2678,"XXXX Duplicate Lines Appearing",1,37,58,6,"CANCELLED","PC2","PBC53","Development","Enhancement",7,1.75,58,1.75,5.25,5.25
2680,"SCM Entry Screen: Saving Linked Policies Stop Forced Saves",5,58,58,6,"FINISHED","PC2","PBC21","Development","Enhancement",14,3.5,58,3.5,10.5,10.5
2681,"Move XXXX Warehouse to Live",1,13,26,6,"FINISHED","PC2","PBC10","Development","Enhancement",1.75,1.75,26,1.75,0,0
2682,"Triangulation : allow all currencies to be shown",2,58,26,58,"FINISHED","PC9","PBC11","Development","Enhancement",1.75,1.75,26,1.75,0,0
2683,"Risk Status Needs A USM/SCM Can Attach Flag.",8,58,58,6,"FINISHED","PC2","PBC53","Development","Enhancement",7,7,58,7,0,0
2685,"XXXX USM Search returning duplicate rows",3,6,26,6,"FINISHED","PC2","PBC10","Development","Bug",1.75,0.7,26,0.7,1.05,1.05
2686,"Add ORI Ref to USM Search (parameters and results)",4,45,26,6,"FINISHED","PC2","PBC21","Development","Enhancement",0.7,0.7,26,0.7,0,0
2689,"Add SCM SuperSearch to SCMS",4,58,42,6,"FINISHED","PC2","PBC21","Development","Enhancement",10.5,7,42,7,3.5,3.5
2690,"Double-Click to open Risk from SCM Line doesn't work on UWRef field",5,26,58,6,"FINISHED","PC2","PBC21","Development","Bug",3.5,1.75,58,1.75,1.75,1.75
2691,"Crash on attempting to open Risk from SCM when Risk Line does not exist",2,58,26,6,"FINISHED","PC2","PBC21","Development","Bug",1.75,5.25,26,5.25,-3.5,-3.5
2692,"Update LoadData in SCM object",3,26,26,6,"FINISHED","PC2","PBC21","Development","Enhancement",0.7,0.7,26,0.7,0,0
2693,"DataBase Selector",5,58,42,58,"FINISHED","PC9","PBC11","Development","Enhancement",14,10.5,42,10.5,3.5,3.5
2694,"SCM Validation Rule: 'To Be Evented'",1,16,42,6,"FINISHED","PC2","PBC53","Development","Enhancement",1.75,3.5,42,3.5,-1.75,-1.75
2696,"Amalgamate Triangulation and Triangulation Complete",5,58,26,6,"FINISHED","PC2","PBC21","Development","Enhancement",7,42,26,42,-35,-35
2697,"JobName truncated in META_BatchJobRunTimeControl -- find out why",7,26,26,6,"FINISHED","PC2","PBC10","Development","Bug",1.75,0.7,26,0.7,1.05,1.05
2698,"System Exit Fails to Cancel",2,26,26,58,"FINISHED","PC9","PBC11","Development","Bug",1.75,5.25,26,5.25,-3.5,-3.5
2700,"Selectively Disable Auditing (eg During SCM Validation)",5,1,1,6,"FINISHED","PC2","PBC21","Development","Enhancement",7,7,1,7,0,0
2701,"Add Figures Books to Stats menu (for meaningful export to Excel)",1,6,26,6,"FINISHED","PC2","PBC21","Development","Enhancement",7,7,26,7,0,0
2702,"Double click on Grid after new Event entered causes crash",4,42,42,6,"FINISHED","PC2","PBC21","Development","Bug",3.5,3.5,42,3.5,0,0
2703,"Add error-handling to Search Control so it doesn't crash app if lookup values bad",3,26,26,58,"FINISHED","PC9","PBC11","Development","Bug",1.75,0.7,26,0.7,1.05,1.05
2705,"Set Field Access Should ONLY Remove 'MANDATORY FIELD: ' Validations.",2,58,42,6,"FINISHED","PC2","PBC21","Development","Bug",14,7,42,7,7,7
2708,"SCM Entry: Split Add - Event Code Entry.",1,58,1,6,"FINISHED","PC2","PBC42","Operational","In House Support",14,5.25,1,5.25,8.75,8.75
2710,"Release Version SCMS 1.6 To Syndicate XXXX.",1,58,58,6,"FINISHED","PC2","PBC42","Operational","In House Support",21,7,58,7,14,14
2711,"Update Release Procedures Document To Cater For New SiP Comparator Software",2,58,58,6,"FINISHED","PC2","PBC21","Operational","In House Support",7,3.5,58,3.5,3.5,3.5
2712,"Add New Reference Node To SiP.Comparator",2,58,42,58,"FINISHED","PC9","PBC11","Development","Enhancement",7,3.5,42,3.5,3.5,3.5
2714,"Search Control: Parameters not applied in order when order is > 9",3,26,26,58,"FINISHED","PC9","PBC11","Development","Bug",0.7,0.7,26,0.7,0,0
2719,"SCM Lines were being added with  UW references",7,16,37,6,"FINISHED","PC2","PBC53","Development","Enhancement",7,7,37,7,0,0
2720,"USM_MESSAGE_DETAIL ON SYND XXXX CONVERSION",4,24,24,6,"CANCELLED","PC17","PBC73","Development","Enhancement",21,3.5,24,3.5,17.5,17.5
2721,"Alter column doesn't work if there is a default",1,58,50,58,"FINISHED","PC9","PBC11","Development","Bug",7,7,50,7,0,0
2722,"Comparator crashes when connection is cut.",1,26,50,58,"FINISHED","PC9","PBC11","Development","Bug",14,7,50,7,7,7
2723,"On the table summary in the comparator need a drop table statement",1,58,50,58,"FINISHED","PC9","PBC11","Development","Enhancement",3.5,3.5,50,3.5,0,0
2724,"Need a new node to show if the columns are identical apart from defaults.",1,58,50,58,"FINISHED","PC9","PBC11","Development","Enhancement",14,7,50,7,7,7
2726,"Difference Count in SiPComparator is incorrect",4,58,50,58,"FINISHED","PC9","PBC11","Development","Bug",7,1.75,50,1.75,5.25,5.25
2727,"Add More Clean text functionailty to SiPComparator",3,58,42,58,"FINISHED","PC9","PBC11","Development","Enhancement",7,7,42,7,0,0
2728,"SCM Screen Tab Ordering Needs Setting",5,13,58,6,"FINISHED","PC2","PBC42","Development","Enhancement",3.5,1.75,58,1.75,1.75,1.75
2729,"USM/RI Search On Stat Codes Fails",2,13,58,6,"FINISHED","PC2","PBC42","Development","Bug",7,3.5,58,3.5,3.5,3.5
2730,"Grid Export: Grid Columns Should Export Using The Same Formats As Displayed In The Grid.",6,7,42,6,"FINISHED","PC2","PBC21","Development","Enhancement",14,10.5,42,10.5,3.5,3.5
2731,"USM_MESSAGE_TRANSACTION_CONVERSION_XXXX",4,24,24,6,"CANCELLED","PC17","PBC73","Development","Enhancement",14,21,24,21,-7,-7
2733,"Calculation order is defined on the link between the risk and layer and not the layer itself.",1,37,37,6,"FINISHED","PC2","PBC21","Development","Enhancement",14,14,37,14,0,0
2734,"Risk Manual Entry Option Should Be Unavailable If User Not In RoleUsersRisk",3,13,42,6,"FINISHED","PC2","PBC42","Development","Bug",3.5,2.8,42,2.8,0.7,0.7
2735,"SCM Screen Needs To Display Fully In ReadOnly Form When User Not In RoleUsersSCM",2,13,42,6,"FINISHED","PC2","PBC42","Development","Enhancement",14,7,42,7,7,7
2736,"Event Search/Edit Needs To Be Set To ReadOnly When User Not In RoleEventsAdmin",2,13,42,6,"FINISHED","PC2","PBC42","Development","Enhancement",7,3.5,42,3.5,3.5,3.5
2737,"RI Manual Entry-Statistical Code Fields Remain ReadOnly Instead Of Standard Access",3,13,13,6,"FINISHED","PC2","PBC42","Development","Bug",7,1.4,13,1.4,5.6,5.6
2739,"Keep warehouse REF_CurrencyExchangeRateTable synchronised with triggers",5,26,26,6,"FINISHED","PC2","PBC21","Development","Enhancement",0.7,0.7,26,0.7,0,0
2741,"SP_RI_CALCULATE fails due to RILayerUniqueID having two possible choices",1,29,58,6,"FINISHED","PC2","PBC42","Development","Bug",1.75,1.75,58,1.75,0,0
2743,"Comparator could do with a stop button that can cancel a search without crashing",1,50,50,58,"FINISHED","PC9","PBC11","Development","Enhancement",7,7,50,7,0,0
2744,"SP_REF_CLEAN_AUDIT_TABLE hardcoded for synd. XXXX (in all synds)",3,26,13,6,"COMPLETED","PC2","PBC21","Development","Bug",0.7,0.25,13,0.25,0.45,0.45
2745,"Create an SiPDecisionTable Object To Aid Complex Decision Code Readability",8,58,58,58,"FINISHED","PC9","PBC11","Development","Enhancement",7,1.75,58,1.75,5.25,5.25
2752,"Synd XXXX - SCM 60017410794 XL RI Data Not Matching Intech.",1,29,58,6,"FINISHED","PC2","PBC42","Operational","In House Support",3.5,1.75,58,1.75,1.75,1.75
2753,"Synd XXXX - SCM 90017511099 XL RI Data Not Matching Intech.",1,29,58,6,"FINISHED","PC2","PBC42","Operational","In House Support",3.5,1.75,58,1.75,1.75,1.75
2754,"Synd XXXX - SCM 60142590593 XL RI Data Not Matching Intech.",1,29,58,6,"FINISHED","PC2","PBC42","Operational","In House Support",3.5,1.75,58,1.75,1.75,1.75
2755,"Synd XXXX - SCM 60130560594 XL RI Data Not Matching Intech.",1,29,58,6,"FINISHED","PC2","PBC42","Operational","In House Support",3.5,1.75,58,1.75,1.75,1.75
2756,"XXXX XLsior Export doesn't seem to be including all figures -- investigate and fix",1,16,26,6,"FINISHED","PC2","PBC53","Development","Bug",1.75,1.75,26,1.75,0,0
2757,"Synd XXXX - Close USM For Months Prior To 2005",1,16,58,6,"FINISHED","PC2","PBC53","Operational","In House Support",3.5,1.75,58,1.75,1.75,1.75
2758,"Synd XXXX - Close SCM For Months Prior To 2005",1,16,58,6,"FINISHED","PC2","PBC53","Operational","In House Support",3.5,1.75,58,1.75,1.75,1.75
2762,"Synd XXXX: Remove RI Manual Checked Period Close Item.",1,29,58,6,"FINISHED","PC2","PBC42","Operational","In House Support",1.75,1.75,58,1.75,0,0
2763,"Validation Errors in no order, and they jump around when you add/remove one",7,26,26,58,"FINISHED","PC9","PBC11","Development","Bug",3.5,0.7,26,0.7,2.8,2.8
2764,"YYY ZZZ Not A Valid User In XXXX Warehouse, Causing Error On Risk Screen",1,6,13,6,"FINISHED","PC2","PBC53","Operational","In House Support",0.7,0.7,13,0.7,0,0
2765,"Triangulation Figures Look Incorrect",2,48,26,6,"FINISHED","PC2","PBC21","Development","Bug",7,1.75,26,1.75,5.25,5.25
2766,"Problem entering task that is already complete",5,1,1,58,"CANCELLED","PC11","PBC65","Development","Bug",7,7,1,7,0,0
2767,"ROE updater component - XXXX",10,1,1,6,"FINISHED","PC2","PBC53","Operational","In House Support",7,7,1,7,0,0
2768,"XXXX SCM Search - Search On Specified EventCode Brings Back All Claims",2,16,37,6,"FINISHED","PC2","PBC53","Development","Bug",7,7,37,7,0,0
2769,"USM No Longer Shows Linked Risk",2,26,42,6,"FINISHED","PC2","PBC21","Development","Bug",1.75,3.5,42,3.5,-1.75,-1.75
2774,"Update filter search fields SP to bring back mixed statistical codes for USM searches",1,58,26,6,"FINISHED","PC2","PBC21","Development","Enhancement",3.5,3.5,26,3.5,0,0
2776,"Database selector allows you to type in free text, but crashes if what you type isn't on its list",5,26,26,58,"FINISHED","PC9","PBC11","Development","Bug",0.7,0.5,26,0.5,0.2,0.2
2777,"USM_MESSAGE_LINE ON SYND XXXX CONVERSION",4,24,24,6,"CANCELLED","PC17","PBC73","Development","Enhancement",21,28,24,28,-7,-7
2780,"Set Multiple Syndicate Users Up With Both XXXX, XXXX Systems",1,13,13,6,"FINISHED","PC2","PBC21","Operational","In House Support",2.1,2.1,13,2.1,0,0
2781,"Risk Manual Entry Fails To Load",2,13,42,6,"FINISHED","PC2","PBC21","Development","Bug",1.4,1.4,42,1.4,0,0
2782,"XXXX System Licence For XXX YYY",1,13,13,6,"FINISHED","PC2","PBC10","Operational","In House Support",0.7,0.7,13,0.7,0,0
2785,"XXXX Figures Books figures for September don't match Open Box",1,6,26,6,"FINISHED","PC2","PBC10","Development","Bug",7,28,26,28,-21,-21
2786,"Bug in Warehouse build -- USMs counted multiple times for multiple Section Limits",1,6,26,6,"FINISHED","PC2","PBC21","Development","Bug",1.75,0.7,26,0.7,1.05,1.05
2788,"SCMS Licence Keys Required For New Users",2,13,58,6,"FINISHED","PC2","PBC21","Operational","In House Support",0.7,0.7,58,0.7,0,0
2789,"XXXX System Licence - YYY ZZZ",1,13,58,6,"FINISHED","PC2","PBC53","Operational","In House Support",0.7,0.7,58,0.7,0,0
2790,"SCMS System Training Machines Setup",1,45,13,6,"FINISHED","PC2","PBC53","Operational","In House Support",1.4,1.4,13,1.4,0,0
2792,"Cannot Add New Event - Save Fails",1,48,58,6,"FINISHED","PC2","PBC10","Development","Bug",7,1.75,58,1.75,5.25,5.25
2796,"SCM Events - If Two New Events Added At Same Time Claim Will Not Save.",1,13,58,6,"FINISHED","PC2","PBC42","Operational","In House Support",3.5,1.75,58,1.75,1.75,1.75
2797,"XLsior Export To Exclude Single Claim",2,16,26,6,"FINISHED","PC2","PBC53","Development","Enhancement",3.5,0.7,26,0.7,2.8,2.8
2798,"SCM Claim Search: Message Reference To Include User Number as Prefix.",2,45,58,6,"FINISHED","PC2","PBC21","Development","Bug",7,1.75,58,1.75,5.25,5.25
2800,"USM_MESSAGE_NARRATIVE XXXX CONVERSION",4,24,24,6,"CANCELLED","PC17","PBC73","Development","Enhancement",7,7,24,7,0,0
2805,"SCM RI Calculations - Allow User To Specify If Run On Save",1,58,58,6,"FINISHED","PC2","PBC21","Development","Enhancement",7,3.5,58,3.5,3.5,3.5
2806,"XXXX Has A Claim Which Displays No Movements",1,13,58,6,"FINISHED","PC2","PBC53","Development","Bug",7,1.75,58,1.75,5.25,5.25
2809,"XXXX Split Claims User Support",1,16,13,6,"FINISHED","PC2","PBC53","Operational","In House Support",0.7,0.7,13,0.7,0,0
2810,"XXXX User Licences Need To Be Regenerated",1,13,58,6,"FINISHED","PC2","PBC53","Operational","In House Support",0.7,0.7,58,0.7,0,0
2813,"Event Search: Original Event Code",1,16,58,6,"FINISHED","PC2","PBC53","Development","Enhancement",35,28,58,28,7,7
2815,"Triangles showing too many years of account",3,16,26,6,"FINISHED","PC2","PBC21","Development","Bug",3.5,0.7,26,0.7,2.8,2.8
2816,"Install Reporting Services SP1 on LTD-HQ2",5,1,1,6,"FINISHED","PC2","PBC53","Operational","In House Support",7,7,1,7,0,0
2817,"Errors Exporting Reports To Excel",5,1,1,6,"FINISHED","PC2","PBC10","Development","Bug",7,7,1,7,0,0
2818,"Synd XXXX: Set Manual Entry - 20037560395 - Outstanding Reserve to 0",2,7,58,6,"FINISHED","PC2","PBC75","Operational","In House Support",1.75,0.7,58,0.7,1.05,1.05
2821,"June 2004 Data Conversion Differences Found For XXXX",1,7,58,6,"FINISHED","PC2","PBC42","Development","Bug",35,35,58,35,0,0
2823,"Events Still Missing On Reports",1,7,1,6,"FINISHED","PC2","PBC10","Development","Enhancement",7,7,1,7,0,0
2824,"XXXX Daily Movement Report To Include XXXX and XXXX Syndicates",3,7,1,6,"FINISHED","PC2","PBC10","Development","Enhancement",7,7,1,7,0,0
2825,"XXXX Syndicate Paid Amounts",1,7,58,6,"FINISHED","PC2","PBC10","Development","Bug",7,7,58,7,0,0
2830,"Risk Search: Section Code Missing",1,46,26,6,"FINISHED","PC2","PBC21","Development","Enhancement",1.75,0.7,26,0.7,1.05,1.05
2831,"Risk Search: Show FAC RI Indicator On The LINE Section",4,46,22,6,"RELEASED","PC2","PBC53","Development","Enhancement",14,2,22,2,12,12
2832,"Risk Search: In The Risk Summary What Is RISK GROUP?",6,46,13,6,"RELEASED","PC2","PBC53","Operational","In House Support",1.75,0.1,13,0.1,1.65,1.65
2833,"Risk Entry: Add Fields TRUST FUND and FIL CODE",2,46,26,6,"FINISHED","PC2","PBC53","Development","Enhancement",1.75,5.25,26,5.25,-3.5,-3.5
2835,"USM_UMRTABLE  Data Conversion  XXXX",6,24,24,6,"CANCELLED","PC17","PBC73","Development","Enhancement",3.5,1.75,24,1.75,1.75,1.75
2836,"Triangulation : Incurred calculation appears wrong",1,37,26,6,"FINISHED","PC2","PBC21","Development","Bug",3.5,5.25,26,5.25,-1.75,-1.75
2838,"Risk Detail: Tick Box Needed If Declarations Attached.",6,46,65,6,"FINISHED","PC2","PBC53","Development","Enhancement",21,6,65,6,15,15
2839,"New report for XXXX",5,1,1,6,"FINISHED","PC2","PBC10","Development","Enhancement",21,7,1,7,14,14
2840,"Add new search critera to claim summary report for YYY ZZZ",5,1,1,6,"FINISHED","PC2","PBC21","Development","Enhancement",7,7,1,7,0,0
2841,"Sort Out Report Naming",10,1,1,6,"FINISHED","PC2","PBC21","Development","Enhancement",7,7,1,7,0,0
2845,"Search control throws exception when operator is 'IS ' or 'IS NOT '",1,58,26,6,"FINISHED","PC2","PBC21","Development","Bug",3.5,0.7,26,0.7,2.8,2.8
2848,"Check that triangulation RI is calculated correctly (particularly RI Outstanding)",1,37,26,6,"FINISHED","PC2","PBC21","Development","Bug",1.75,1.75,26,1.75,0,0
